date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:49:29	134395/134395	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Dec%202024%2012:56:52%20GMT	https://realestics.temptics.com/	C:/Users/mo7a/Desktop/machroo3/realEstateRealastics/realestics.temptics.com/index.html	(from )
01:49:29	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2014%20Feb%202025%2000:49:28%20GMT	https://realestics.temptics.com/robots.txt		(from )
01:49:29	9181/9181	---M-Z	200	added ('OK')	text/css	date:Mon,%2025%20Nov%202024%2017:22:10%20GMT	https://realestics.temptics.com/assets/icon/flaticon_real_estate.css	C:/Users/mo7a/Desktop/machroo3/realEstateRealastics/realestics.temptics.com/assets/icon/flaticon_real_estate.css	(from https://realestics.temptics.com/)
01:49:30	194907/194907	---M-Z	200	added ('OK')	text/css	date:Mon,%2028%20Oct%202024%2016:39:30%20GMT	https://realestics.temptics.com/assets/vendor/bootstrap/bootstrap.min.css	C:/Users/mo7a/Desktop/machroo3/realEstateRealastics/realestics.temptics.com/assets/vendor/bootstrap/bootstrap.min.css	(from https://realestics.temptics.com/)
01:49:30	5002/5002	---M-Z	200	added ('OK')	text/css	date:Thu,%2010%20Oct%202024%2017:02:32%20GMT	https://realestics.temptics.com/assets/vendor/splide/splide.min.css	C:/Users/mo7a/Desktop/machroo3/realEstateRealastics/realestics.temptics.com/assets/vendor/splide/splide.min.css	(from https://realestics.temptics.com/)
01:49:30	18459/18459	---M-Z	200	added ('OK')	text/css	date:Thu,%2010%20Oct%202024%2017:08:32%20GMT	https://realestics.temptics.com/assets/vendor/swiper/swiper-bundle.min.css	C:/Users/mo7a/Desktop/machroo3/realEstateRealastics/realestics.temptics.com/assets/vendor/swiper/swiper-bundle.min.css	(from https://realestics.temptics.com/)
01:49:31	9872/9872	---M-Z	200	added ('OK')	text/css	date:Thu,%2010%20Oct%202024%2017:16:08%20GMT	https://realestics.temptics.com/assets/vendor/slim-select/slimselect.css	C:/Users/mo7a/Desktop/machroo3/realEstateRealastics/realestics.temptics.com/assets/vendor/slim-select/slimselect.css	(from https://realestics.temptics.com/)
01:49:31	71750/71750	---M-Z	200	added ('OK')	text/css	date:Thu,%2010%20Oct%202024%2017:25:54%20GMT	https://realestics.temptics.com/assets/vendor/animate-wow/animate.min.css	C:/Users/mo7a/Desktop/machroo3/realEstateRealastics/realestics.temptics.com/assets/vendor/animate-wow/animate.min.css	(from https://realestics.temptics.com/)
01:49:32	116148/116148	---M-Z	200	added ('OK')	text/css	date:Tue,%2003%20Dec%202024%2012:55:38%20GMT	https://realestics.temptics.com/assets/css/style.css	C:/Users/mo7a/Desktop/machroo3/realEstateRealastics/realestics.temptics.com/assets/css/style.css	(from https://realestics.temptics.com/)
01:49:32	134395/134395	---M-Z	200	added ('OK')	text/html	date:Tue,%2003%20Dec%202024%2012:56:52%20GMT	https://realestics.temptics.com/index.html	C:/Users/mo7a/Desktop/machroo3/realEstateRealastics/realestics.temptics.com/index-2.html	(from https://realestics.temptics.com/)
